7;60;7;29.07.2017 7:54:21;30.07.2017 7:45:20;46,13;73,54;27,41;0
7;60;8;29.07.2017 7:54:21;30.07.2017 7:45:20;115,99;157,07;41,08;0
7;60;9;29.07.2017 7:54:21;30.07.2017 7:45:20;25;38,69;13,69;0
7;60;10;29.07.2017 7:54:21;30.07.2017 7:45:20;5;5;0;0
7;50;5;29.07.2017 7:54:21;30.07.2017 7:45:20;10;10;0;0
7;50;6;29.07.2017 7:54:21;30.07.2017 7:45:20;49,46;49,46;0;0
7;22;1;29.07.2017 7:54:21;30.07.2017 7:45:20;640,02;669,15;29,13;0
7;22;2;29.07.2017 7:54:21;30.07.2017 7:45:20;334,19;334,19;0;0
7;22;3;29.07.2017 7:54:21;30.07.2017 7:45:20;1464,53;1916,6;452,07;0
7;22;4;29.07.2017 7:54:21;30.07.2017 7:45:20;0;0;0;0
8;95;5;30.07.2017 7:45:59;31.07.2017 7:52:03;207,76;207,76;0;0
8;95;6;30.07.2017 7:45:59;31.07.2017 7:52:03;90,16;105,74;15,58;0
8;95;7;30.07.2017 7:45:59;31.07.2017 7:52:03;371,15;453,51;82,36;0
8;95;8;30.07.2017 7:45:59;31.07.2017 7:52:03;321,03;339,52;18,49;0
8;92;5;30.07.2017 7:45:59;31.07.2017 7:52:03;656,95;726,37;69,42;0
8;92;6;30.07.2017 7:45:59;31.07.2017 7:52:03;214,95;214,95;0;0
8;92;7;30.07.2017 7:45:59;31.07.2017 7:52:03;1202,42;1490,64;288,22;0
8;92;8;30.07.2017 7:45:59;31.07.2017 7:52:03;274,67;307,6;32,93;0
8;92;9;30.07.2017 7:45:59;31.07.2017 7:52:03;55,5;55,5;0;0
8;92;10;30.07.2017 7:45:59;31.07.2017 7:52:03;42,49;42,49;0;0
8;60;7;30.07.2017 7:45:59;31.07.2017 7:52:03;73,54;73,54;0;0
8;60;8;30.07.2017 7:45:59;31.07.2017 7:52:03;157,07;204,46;47,39;0
8;60;9;30.07.2017 7:45:59;31.07.2017 7:52:03;38,69;38,69;0;0
8;60;10;30.07.2017 7:45:59;31.07.2017 7:52:03;5;114,58;109,58;0
8;50;5;30.07.2017 7:45:59;31.07.2017 7:52:03;10;10;0;0
8;50;6;30.07.2017 7:45:59;31.07.2017 7:52:03;49,46;49,46;0;0
8;22;1;30.07.2017 7:45:59;31.07.2017 7:52:03;669,15;714,17;45,02;0
8;22;2;30.07.2017 7:45:59;31.07.2017 7:52:03;334,19;334,19;0;0
8;22;3;30.07.2017 7:45:59;31.07.2017 7:52:03;1916,6;2503,25;586,65;0
8;22;4;30.07.2017 7:45:59;31.07.2017 7:52:03;0;0;0;0
9;95;5;31.07.2017 7:52:47;01.08.2017 7:46:24;207,76;309,21;101,45;0
9;95;6;31.07.2017 7:52:47;01.08.2017 7:46:24;105,74;105,74;0;0
9;95;7;31.07.2017 7:52:47;01.08.2017 7:46:24;453,51;569,83;116,32;0
9;95;8;31.07.2017 7:52:47;01.08.2017 7:46:24;339,52;399,79;60,27;0
9;92;5;31.07.2017 7:52:47;01.08.2017 7:46:24;726,37;861,87;135,5;0
9;92;6;31.07.2017 7:52:47;01.08.2017 7:46:24;214,95;225,11;10,16;0
9;92;7;31.07.2017 7:52:47;01.08.2017 7:46:24;1490,64;1788,6;297,96;0
9;92;8;31.07.2017 7:52:47;01.08.2017 7:46:24;307,6;374,4;66,8;0
9;92;9;31.07.2017 7:52:47;01.08.2017 7:46:24;55,5;55,5;0;0
9;92;10;31.07.2017 7:52:47;01.08.2017 7:46:24;42,49;52,49;10;0
9;60;7;31.07.2017 7:52:47;01.08.2017 7:46:24;73,54;73,54;0;0
9;60;8;31.07.2017 7:52:47;01.08.2017 7:46:24;204,46;204,46;0;0
9;60;9;31.07.2017 7:52:47;01.08.2017 7:46:24;38,69;52,81;14,12;0
9;60;10;31.07.2017 7:52:47;01.08.2017 7:46:24;114,58;114,58;0;0
9;50;5;31.07.2017 7:52:47;01.08.2017 7:46:24;10;10;0;0
9;50;6;31.07.2017 7:52:47;01.08.2017 7:46:24;49,46;60,97;11,51;0
9;22;1;31.07.2017 7:52:47;01.08.2017 7:46:24;714,17;965,91;251,74;0
9;22;2;31.07.2017 7:52:47;01.08.2017 7:46:24;334,19;334,19;0;0
